,name
JwUE5GmEO-sH1FuwJgKBlQ,Pine Cone Restaurant
uGykseHzyS5xAMWoN6YUqA,Deforest Family Restaurant
LRKJF43s9-3jG9Lgx4zODg,Culver's
RgDg-k9S5YD_BaxMckifkg,Chang Jiang Chinese Kitchen
rdAdANPNOcvUtoFgcaY9KA,Green Lantern Restaurant
_wZTYYL7cutanzAnJUTGMA,Beach House Restaurant & Lounge
zOc8lbjViUZajbY7M0aUCQ,Spartan Pizza
UgjVZTSOaYoEvws_lAP_Dw,Main Moon Chinese Restaurant
SKLw05kEIlZcpTD5pqma8Q,Imperial Garden Chinese Restaurant
77ESrCo7hQ96VpCWWdvoxg,Mi Cocina
KTqNU4plO23583DYAMGXYg,Domino's Pizza
MKsb2VpLB-0UBODcInDsSw,China Wok Buffet
ShEYKerTwb2LSORE5o_s7A,Prairie Cafe & Bakery
HaBkx5PwvbBpQ2iNCgHnVQ,Paul's Neighborhood Bar
KW6HejC-67KSL9J8Cz1dSw,Chin's Asia Fresh
wl-7A4jC0f27MOEmW-XTbQ,Grand China Restaurant
suQyHycqv8nA7EualcUB3g,Dennys
uga5g16PncJOtY7Sc3A05w,McDonald's
xbJ9tdGbcVJIUkNgHSCwZQ,Hody Bar & Grill
koRLvzIl-4fCybOIdk56jA,Louisianne's Etc
cruBFtsFaBuhX_I72uU8pA,Papa John's Pizza
X47o6R2rWiqGqvBtC7VS3Q,Three Sisters Old Town Inn
lN-5-YTsaJr_IByyA476iw,Middleton Sport Bowl
IEmqrFe96NOhU07TA0rZdw,Stamm House At Pheasant Branch
KFJ1jBfFkRfyn3AoAUl3YQ,Hardee's
G1qUGBNYNS220jKlPAlFsA,The Village Green Bar & Grill
6oDZ78JiSKjXVLcurCpnhw,Nitty Gritty Restaurant & Bar
kiAsweI4sOjDzGyz3Y_HsQ,Culver's
q8fD82us6uuGufvI44NoAg,Vin Santo
oc0rCahXOaJeHLzzDdSfyA,Soup Factory
Nj0vQjUYjaa7qbvZlEr2jQ,Club Tavern & Grille
B0Vuwn6Hugc-0U5n31YBfg,C's Restaurant Bakery and Coffee Shop
3zD6rxB92Mr0jb-LoYFFWw,Burger King
OC8AUJshLVimn_-P_INvJw,Pizza Pit
