city,review_count,name,business_id,longitude,state,average_stars,latitude,price_range,categories
De Forest,26,Pine Cone Restaurant,JwUE5GmEO-sH1FuwJgKBlQ,-89.335844,WI,4.0,43.238893,1,[u'Restaurants']
De Forest,16,Deforest Family Restaurant,uGykseHzyS5xAMWoN6YUqA,-89.353437,WI,4.0,43.252267,1,"[u'American (Traditional)', u'Restaurants']"
De Forest,7,Culver's,LRKJF43s9-3jG9Lgx4zODg,-89.374983,WI,4.5,43.251045,1,"[u'Food', u'Ice Cream & Frozen Yogurt', u'Fast Food', u'Restaurants']"
De Forest,3,Chang Jiang Chinese Kitchen,RgDg-k9S5YD_BaxMckifkg,-89.3437217,WI,4.0,43.2408748,0,"[u'Chinese', u'Restaurants']"
Mc Farland,33,Green Lantern Restaurant,rdAdANPNOcvUtoFgcaY9KA,-89.3061344,WI,3.5,43.0256436,2,"[u'American (Traditional)', u'Restaurants']"
Mc Farland,31,Beach House Restaurant & Lounge,_wZTYYL7cutanzAnJUTGMA,-89.303789,WI,3.5,43.017701,2,"[u'Bars', u'American (Traditional)', u'Nightlife', u'Lounges', u'Restaurants']"
Mc Farland,4,Spartan Pizza,zOc8lbjViUZajbY7M0aUCQ,-89.288567,WI,3.5,43.014164,1,"[u'Pizza', u'Restaurants']"
Mc Farland,8,Main Moon Chinese Restaurant,UgjVZTSOaYoEvws_lAP_Dw,-89.2986278,WI,3.5,43.0179387,1,"[u'Chinese', u'Restaurants']"
Middleton,41,Imperial Garden Chinese Restaurant,SKLw05kEIlZcpTD5pqma8Q,-89.485169,WI,3.0,43.090642,2,"[u'Party & Event Planning', u'Asian Fusion', u'Event Planning & Services', u'Venues & Event Spaces', u'Restaurants']"
Middleton,17,Mi Cocina,77ESrCo7hQ96VpCWWdvoxg,-89.4874867,WI,3.0,43.0910607,2,"[u'Mexican', u'Restaurants']"
