yelping_since,compliments.plain,compliments.cute,compliments.cool,compliments.more,compliments.profile,average_stars,user_id,elite,review_count,name,compliments.list,votes.cool,votes.funny,compliments.writer,fans,compliments.photos,compliments.note,compliments.funny,votes.useful,compliments.hot
2011-09,,,1,,,3.71,FmwWPEQMcxCGI5K1yqAXaA,"[2012, 2013, 2014]",99,Todd,,16,9,,0,,,,57,2
2009-12,6,1,17,,,3.52,WNCNmynlYmIkz2VeTlfVRw,"[2011, 2012]",321,Harmony,,189,195,11,7,,28,10,370,7
2010-10,9,,16,1,1,3.65,WvhiRlcyEiy-XYwiCofzdg,"[2013, 2014]",214,Lene,,110,56,4,7,,3,5,274,8
2012-02,6,,1,2,,3.53,B947dYEwuKxJLvY33bdG8g,"[2012, 2013, 2014]",230,Mark,,40,45,2,1,1,2,2,203,
2007-06,29,2,45,2,2,3.55,ELLFYCYQHKyx13T7IZ3j0Q,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",333,Steph,,511,147,10,23,8,23,10,702,26
2008-11,165,16,169,18,10,3.96,GHbj_ybwEXcN4R8qt7O-cg,"[2010, 2011, 2012, 2013, 2014]",152,Rony,7,1557,2137,131,103,58,87,220,1735,131
2009-01,53,1,64,1,1,3.66,FcjwXnuDuN8not6PoHID3w,"[2011, 2012, 2013, 2014]",172,David,2,244,100,16,7,38,24,6,324,6
2006-01,29,3,72,7,1,3.74,6zwt0czvmqwBoy6NKVEvjA,"[2008, 2009, 2010, 2011, 2012, 2013]",256,Angie,,422,247,13,9,,44,11,672,32
2008-08,7,3,10,1,1,3.62,UbEp2jj8cYC0UWZ1jvUZ3A,[2012],257,Christopher,,91,92,5,6,,,2,289,5
2012-06,409,,124,2,6,3.94,iw2b-ya2MuS0QZnVq5_axQ,"[2013, 2014]",406,Cruz,,430,307,19,28,26,42,46,896,29
2010-06,600,4,656,30,18,4.1,f_QwW8uaXLQXJXaCYMcCYA,"[2010, 2011, 2012, 2013, 2014]",473,Alberto,3,1365,1183,224,20,122,229,187,1707,324
2012-09,16,3,35,2,1,4.09,DTrYjjzj62PJZ_WptivFyQ,[2014],63,Krystal,,177,157,12,18,2,57,4,247,28
2010-06,11,1,32,6,1,4.01,V7pppn-r6tL_Yb2_msQQFw,"[2010, 2011, 2012, 2013, 2014]",304,Robert,,281,182,31,11,2,13,5,536,33
2007-07,2,,3,1,,3.8,Jwoj_tY5WaMlK_fEvQpJ1A,"[2010, 2011]",70,Krishna,1,53,51,,1,,2,1,81,1
2009-02,3,,4,1,1,3.6,34ir_XnUsrqserEuSZdGQA,"[2012, 2013]",136,David,,67,78,5,6,1,4,2,167,2
2011-01,3,,5,3,,3.91,NKZoxboFNX_BcMZLBbPNkw,"[2012, 2013, 2014]",128,Caroline,1,37,19,4,2,,1,1,84,5
2011-06,10,,13,,1,3.83,7_XwjOebd1temr3CaqGwpg,[2014],227,Raven-Joie,,506,261,15,4,1,12,6,709,12
2007-04,699,18,422,24,7,3.82,-wOgMGHvNJHQDfqUgX19Qg,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",1074,Gustavo A.,21,2855,1839,125,49,22,206,96,3946,270
2011-02,4,7,16,2,3,4.24,QYgcusG-G0bwUOt0b5rT6w,[2012],125,Diana,,56,61,4,7,5,7,3,147,22
2011-04,22,2,23,5,1,3.82,9IQW7ckslbxLSj0uygJHMw,"[2011, 2012, 2013, 2014]",172,Jason,,127,223,11,7,2,12,10,314,19
2006-12,3,,2,2,,4.03,Wrt1baSOa47mvP9XOFjvSA,[2010],91,Courtney,2,72,52,7,3,,3,5,184,4
2009-06,14,3,28,1,,4.01,0a4EBQd0WbpGbyW5QFhtUA,"[2009, 2010]",94,Susie,1,113,80,3,11,1,14,15,242,5
2005-08,15,,28,1,,4.38,03Wi3xFOI_DUcsIoRQDTBQ,"[2005, 2006, 2007]",277,Sherie,,243,118,4,4,1,8,4,356,4
2006-08,4,4,12,2,3,3.8,ast7zFwurXISi8VKZ9FtWw,"[2007, 2008]",211,laura,,321,315,4,12,3,4,7,390,12
2005-10,35,24,72,6,8,3.64,uzqM9qDSbuZUUQMUUR8OCQ,"[2010, 2011, 2012, 2013, 2014]",431,Bella,5,521,456,18,30,18,30,17,846,95
2009-12,48,3,39,4,5,3.64,_ap0yLhRPAHwEeHAMFSYmw,"[2010, 2011]",144,LISA,,278,410,23,8,2,7,23,386,28
2008-08,16,10,45,9,6,3.82,WqZzDuzt8KFJPRVse7DWiQ,"[2009, 2010, 2011, 2012]",153,Joshua,,337,364,21,6,,5,21,415,30
2011-09,18,1,15,,,3.78,9tXL9eJNIi9SL5pdCYeyZQ,[2013],137,Masha,,188,202,8,8,1,2,3,326,7
2010-02,19,,29,4,1,3.78,7r9SPsc0zMJu4oKUioRC-w,"[2011, 2012, 2013, 2014]",224,Laurie,3,245,218,29,16,3,11,11,540,37
2008-05,1,,1,,,4.13,HRneZ-uLMDZFDCaTSEDOLA,"[2013, 2014]",127,Rebecca,,35,18,,3,,3,,132,2
2007-04,24,,22,7,1,3.91,EkDRdsqgd9QPj-qgvSoY2w,"[2007, 2008]",124,Rhea,1,128,88,16,6,2,13,7,278,14
2008-08,289,12,380,15,5,3.72,7xLNzR76Z2EJQQkzMoOgKA,"[2009, 2010, 2011, 2012, 2013, 2014]",458,Michelle,5,1358,994,110,51,68,93,119,2095,277
2008-02,7,2,7,5,1,3.87,6rd4hDbIkN_B6Q51oVhT_w,"[2010, 2011]",77,Natalie,2,41,38,5,17,,3,2,85,14
2009-04,24,3,21,2,2,3.44,baYu2JM19aIABeZCql0ebg,"[2009, 2010, 2011]",279,Marisa,,149,156,3,9,1,20,4,498,21
2012-06,76,,47,1,1,3.77,fy8u9MsHxUk1h78r4AlmGg,"[2013, 2014]",165,Rick,,124,66,10,7,1,13,3,178,14
2009-03,3,,12,3,,4.17,HR38K6lADM5TL5JCpOj3UA,[2011],134,Kris,,43,30,3,8,,14,5,156,9
2007-11,34,1,30,4,1,3.78,CIiXLV58phKOQBDM6KGpkg,"[2012, 2013, 2014]",172,Sonia,,86,45,10,5,7,21,7,198,11
2009-01,12,4,15,5,3,3.72,vkxZOUET2gsDjEBPJ7iXlg,"[2010, 2011, 2012]",177,Stephanie,,77,47,1,15,7,6,3,126,12
2010-03,4,,11,2,,3.59,p0YMNyX-y5grRwoLQC2-ZA,[2014],88,Raquel,,77,43,4,10,5,1,2,139,9
2009-09,44,,58,5,3,3.83,vbt_rKSSyoyNuud7Yjn6Qg,"[2013, 2014]",181,Cari,1,226,111,14,6,2,15,8,367,18
2013-07,5,1,8,,1,4.39,UKqBuuX73J4QkEpeu8zpBw,[2014],60,Ruby,,18,9,6,3,,1,1,47,7
2009-07,7,,20,3,2,3.52,xLbSUpVLC6AQHRZTwJvxkA,"[2013, 2014]",295,Virginia,,215,142,20,12,4,14,3,433,21
2007-04,16,1,26,7,3,3.8,w_24y7Za2pJTXsnifTZZNw,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",204,Carol,1,191,209,4,12,1,6,15,272,20
2010-12,11,,9,1,,3.38,L-Sut_f4EaJ1ghh_-9MuIA,"[2012, 2013, 2014]",262,Robert,,98,164,1,2,,8,4,266,6
2009-04,11,1,19,,2,3.28,NZUB8rNpZmAuGtiFfIac9Q,"[2013, 2014]",73,My,,52,35,7,5,4,17,4,133,23
2009-07,194,4,324,6,2,4.31,-XLQKak-GsDt_oTw5MutEQ,"[2011, 2012, 2013, 2014]",437,Yuko,15,1220,530,92,42,82,39,47,1725,159
2009-06,4,,8,2,,4.13,P5qsu3aPKu1UicFR3OMtiw,[2014],177,Paul,,400,24,1,4,,1,1,482,5
2011-06,11,1,30,1,1,3.65,cGd_DDasBqJTM1lkacnWhA,"[2012, 2013, 2014]",194,Lindsey,,115,78,18,7,3,14,8,294,14
2009-09,9,,6,,2,3.43,1h5G_Uf1UMeyJ8Nt49Fa7w,"[2012, 2013, 2014]",347,meshell,,115,124,5,6,3,6,2,366,5
2011-04,19,1,27,2,3,4.05,W3zoUN9L-NHxw0Q5oG_F4A,"[2012, 2013, 2014]",252,Courtney,2,208,126,18,19,2,19,3,390,12
2010-03,10,1,29,1,,4.04,MP-M9jStq_-yuik9STSrrg,"[2010, 2011, 2012, 2013]",186,Lindsay,3,150,99,5,7,10,7,5,242,16
2013-02,13,,12,2,3,4.23,x7CfvsqzW9KC-8cqLxEtbg,[2014],57,Kristi,,87,63,10,3,3,4,2,98,7
2008-04,31,2,47,6,2,3.94,XpOoH5On-c9jhDrwvZhroA,"[2009, 2010]",114,Ken,,301,307,27,18,24,16,25,396,38
2008-05,510,12,449,15,4,4.2,633Sdbo6bN-zsrk3roZ_VQ,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",226,Shannon,13,1281,785,131,32,36,67,95,1716,245
2008-08,6,1,6,1,1,3.71,4nooT0_sjBJuwH6-D_CQkw,[2014],104,David,,47,44,2,3,,7,3,132,4
