,business_id,name
0,JwUE5GmEO-sH1FuwJgKBlQ,Pine Cone Restaurant
1,uGykseHzyS5xAMWoN6YUqA,Deforest Family Restaurant
2,LRKJF43s9-3jG9Lgx4zODg,Culver's
3,RgDg-k9S5YD_BaxMckifkg,Chang Jiang Chinese Kitchen
4,rdAdANPNOcvUtoFgcaY9KA,Green Lantern Restaurant
5,_wZTYYL7cutanzAnJUTGMA,Beach House Restaurant & Lounge
6,zOc8lbjViUZajbY7M0aUCQ,Spartan Pizza
7,UgjVZTSOaYoEvws_lAP_Dw,Main Moon Chinese Restaurant
8,SKLw05kEIlZcpTD5pqma8Q,Imperial Garden Chinese Restaurant
9,77ESrCo7hQ96VpCWWdvoxg,Mi Cocina
10,KTqNU4plO23583DYAMGXYg,Domino's Pizza
11,MKsb2VpLB-0UBODcInDsSw,China Wok Buffet
12,ShEYKerTwb2LSORE5o_s7A,Prairie Cafe & Bakery
13,HaBkx5PwvbBpQ2iNCgHnVQ,Paul's Neighborhood Bar
14,KW6HejC-67KSL9J8Cz1dSw,Chin's Asia Fresh
15,wl-7A4jC0f27MOEmW-XTbQ,Grand China Restaurant
16,suQyHycqv8nA7EualcUB3g,Dennys
17,uga5g16PncJOtY7Sc3A05w,McDonald's
18,xbJ9tdGbcVJIUkNgHSCwZQ,Hody Bar & Grill
19,koRLvzIl-4fCybOIdk56jA,Louisianne's Etc
20,cruBFtsFaBuhX_I72uU8pA,Papa John's Pizza
21,X47o6R2rWiqGqvBtC7VS3Q,Three Sisters Old Town Inn
22,lN-5-YTsaJr_IByyA476iw,Middleton Sport Bowl
23,IEmqrFe96NOhU07TA0rZdw,Stamm House At Pheasant Branch
24,KFJ1jBfFkRfyn3AoAUl3YQ,Hardee's
25,G1qUGBNYNS220jKlPAlFsA,The Village Green Bar & Grill
26,6oDZ78JiSKjXVLcurCpnhw,Nitty Gritty Restaurant & Bar
27,kiAsweI4sOjDzGyz3Y_HsQ,Culver's
28,q8fD82us6uuGufvI44NoAg,Vin Santo
29,oc0rCahXOaJeHLzzDdSfyA,Soup Factory
30,Nj0vQjUYjaa7qbvZlEr2jQ,Club Tavern & Grille
31,B0Vuwn6Hugc-0U5n31YBfg,C's Restaurant Bakery and Coffee Shop
32,3zD6rxB92Mr0jb-LoYFFWw,Burger King
33,OC8AUJshLVimn_-P_INvJw,Pizza Pit
34,2pmMehsVKnwhgWPSOxrkjA,Panda Garden
35,NDAxF0_RCZBQedVO_d5WnA,Chang Jiang
36,eptljN50_4BpIwc2Op_A_A,Deli Roma
37,Xp7OA8gz7zDgB3I54jyb4g,SIR Hobo's
38,5uxhIGZlJm9g_zfG_83z5Q,Peking Chinese Restaurant
39,yV-eB-pQVeWE7W-WPC8BUg,Prairie Diner
40,unMqU0OrlniCOKZIoQHb0A,Kfc
41,MlWXHxdbIODf9GUcvUTfGQ,Country Cafe
42,RIsEPpt2jM7c_Ko_CyLwMw,Dairy Queen
43,O_Pu4mKGOqQVlmH07Zbnhg,The Rodeside Grill
44,HGzdDbukK8RJEc623kLz5Q,A&W Restaurant
45,oX6KamASYXnMIe5kpVhezw,Flaming Wok
46,S4TWo9X6b3gU6uucj4JN3g,Laredo's
47,xZwaUcrFMSY1O9dK2dAUpA,China Wok
48,89O2bCyo92IpEEvgFXqOMw,Cousins Subs
49,XWDk-pLSbVE2Vvv9Z-zusQ,Burger King
50,1hBOR97oX5Xph3J8Tdob7w,Cheeseburger in Paradise
51,ybkWtM1ZnT2ewuquj3A9KQ,Benvenuto's Italian Grill
52,jo-BEjs7UYovOAupDAN_yw,Rocky Rococo Pan Style Pizza
53,lNE3gOMb724YPlZAA8WlXQ,Denny's
54,cpGv6ES2hzPCtCUQgipwXw,New Orleans Take-Out
55,wPidHd5FxspPRgVqdEQ-Xw,Pedro's Mexican Restaurante
56,yYIEKwgQUHJpySOcVdCAkg,Perkins Restaurant & Bakery
57,pSiRWeCqs7a1xvS9ycLoTQ,Chang Jiang
58,QF14BFUVHRODxGNVflgm3A,Cracker Barrel Old Country Store
59,11yg-JMNCFowyIjJarzuDQ,Hardee's
60,q83uB6EGF6y2MuR-7VZPRg,Culver's
61,oudTF4EN_C8thENGiTQf-w,Chili's
62,ZjwZIQM4TfFO7T7ck7FtYQ,Copps Food Center
63,MVFeOZVt641WBvdsRmnhPg,Slice-N-Bullits Bar & Grill
64,9vgu6o1CwP5NakVkb29z0g,Sarku Japan
65,JdCFcgw4yk4M1ZRhAhBIag,Applebee's
66,311yXufoXR2dFngMHS9MFg,McDonald's
67,QB64-PgfEUzbrOL50bJ0Bw,Wendy's
68,rgyvl8tNVAony634_9vFdQ,Taco Bell
69,v5a-Mj4eO1E--HmgwEWo7A,Red Lobster
70,HTplzElel_F_U_qhWuDKdg,Dexter's Pub
71,O5lo-GKCG3cX8X4bh_DR_A,HomeTown Buffet
72,0oQFFOdPZycIBmGkoBrlbg,Noodles & Company
73,QdSGdvZATzejDkSs435Rdw,Eagle Crest Bar
74,1YEuqVtVMHdpavzoGcUUug,International House of Pancakes
75,7uoxZ35biPZfl8m5w2_XRA,Papa John's
76,uzJ2Vefb951El2oneQI8NQ,Wong's Garden
77,JPFzpR5PvZWqHXQMIZFk2w,Cool Beans Coffee House and Cafe
78,fjaQ3Ixkofh8xGhklUtDnA,Monty's Blue Plate Diner
79,Ryq600aoE3h8_qRQGIed9A,People's Bakery
