yelping_since,compliments.plain,review_count,compliments.more,compliments.cute,compliments.writer,fans,compliments.note,type,compliments.hot,compliments.cool,compliments.profile,average_stars,user_id,elite,name,compliments.list,votes.cool,votes.funny,compliments.photos,compliments.funny,votes.useful
2013-10,,3,,,,0,,user,,,,2.33,y_H0pqcO4rp1GzoZDkXgOw,[],Cathy,,1,1,,,9
2010-08,1,12,1,1,,3,3,user,2,2,,4.17,deeRsbe9LryPL0GvMShM0w,[],Jessica,,4,6,,,30
2010-09,,1,,,,0,,user,,,,5.0,oCOjeP4QSf2kBcFY7v9OdQ,[],Kristen,,0,0,,,0
2013-02,,5,,,,0,,user,,,,4.6,hkhD5Kkm-4iVS8v8NygE-Q,[],Marc,,3,0,,,1
2011-02,,1,,,,0,,user,,,,1.0,qeNWgWsvLF7vkTTNgn3vvw,[],Emilio,,0,0,,,1
2013-08,,1,,,,0,,user,,,,1.0,Sjz8AK54jEh9McFTW9erEw,[],JoAnne,,0,0,,,1
2012-04,,1,,,,0,,user,,,,5.0,sLJbb1CWfnNbxIQW5KA7kA,[],Nick,,0,0,,,0
2009-12,5,97,,,5,2,4,user,,3,,3.88,4EEX-Nf4zQUVaeQcUCUQoA,[],Linda,,43,18,,1,85
2012-11,2,21,,,1,1,1,user,,,,4.42,89tEO8Zl6IIcjF2tD4BaJQ,[],Amelia,,2,1,,1,14
2011-01,,4,,,,0,,user,,,,2.2,WxtD0T-stl4aqda28ZNqyg,[],e,,3,5,,,10
2013-03,,1,,,,0,,user,,,,5.0,X0CQY0lL-P8ObLv-G2oUhg,[],Chen,,1,0,,,1
2008-12,,28,,,,0,,user,,2,,4.25,QESRuSh5a2h0CCVlTrwhng,[],Atul,,6,6,,,33
2013-01,,21,,,1,1,,user,,1,,3.81,rH5Y-ECNRMUe9hQ-9BVxhw,[],Cierra,,2,6,,,8
2010-07,,5,,,,0,,user,,,,3.2,r_FSqUJMg1nOuCm76E21iQ,[],Bomi,,0,0,,,2
2013-01,,5,,,,0,,user,,,,4.33,S3e7hoB5Mu99_mobzM2NxQ,[],Kelcie,,2,0,,,4
2011-05,,1,,,,0,,user,,,,1.0,EdyvQhKCaA_cCfEQ1PsJAA,[],Mark,,0,0,,,4
2007-09,,4,,,,0,,user,,,,3.5,euXoJxHf_6z0kLTJD7fsBw,[],ted,,0,1,,,5
2013-01,1,2,,,,0,1,user,,,,1.0,CuAYj-IG591n0hyxp3kRlw,[],Krysta,,0,0,,,3
2014-05,,2,,,,0,,user,,,,5.0,fJM3rcp1vXdyW4uOWNoOhA,[],Betsy,,0,0,,,0
2011-03,,4,,,,0,,user,,,,3.67,W-3ESlcXJpwtqz7ISiEQBA,[],Christine,,1,1,,,4
2012-07,,3,,,,0,,user,,,,4.67,f_NsRtLpx962b6XpAGAV4g,[],Bill,,0,0,,,2
2009-05,2,45,1,,3,1,1,user,1,7,,4.51,dmcSgCFDEA1o_UaF2iAy1Q,[],Eugene,,55,29,3,1,113
2010-01,,20,,,,0,,user,,1,,4.25,nVNQECwt1-2Cqx6zxP-KEQ,[],Mark,,2,1,,,15
2013-12,,3,,,,0,,user,,,,2.33,H-839o33T1JNKq7Fx0tCEA,[],Marion,,3,1,,,3
2010-05,,46,,,,1,,user,,,,3.39,_odd1cfquakQXIFs-mj1Ng,[],Anjana,,13,1,,,24
2011-09,,3,,,,0,,user,,,,5.0,MneL6Ofb6rr_kdfvrZex3Q,[],Mollie,,0,0,,,1
2010-12,,3,,,,1,,user,,,,3.0,lc4VO_c7tiAzRfTm3W_m1w,[],Michael,,0,0,,,0
