yelping_since,compliments.plain,compliments.more,compliments.cool,compliments.profile,average_stars,user_id,elite,review_count,name,compliments.list,votes.cool,votes.funny,compliments.writer,fans,compliments.cute,compliments.photos,compliments.note,compliments.funny,votes.useful,compliments.hot
2007-12,2085,155,1885,129,3.27,JLM36sYWmouJAZ2knzst7A,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",8062,Victor,69,17895,18079,831,380,49,41,573,526,26615,1427
2009-11,2133,107,716,20,3.22,22-6yC05pgWbLupHZTjQig,"[2009, 2010, 2011, 2012, 2013, 2014]",4244,Jennifer,78,6430,6237,261,206,46,573,693,554,9976,385
2005-04,1491,169,2041,79,3.41,pz97SxRe1Vk-5_K6EB9OSA,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",3829,Anita,26,17032,10457,792,400,92,221,1031,637,21083,1450
2009-03,661,61,466,26,3.49,VhI6xyylcAxi0wOy2HOX3w,"[2010, 2011, 2012, 2013, 2014]",3790,Bruce,17,8548,7243,372,73,4,504,261,220,11417,233
2005-07,68,27,169,12,3.65,7FuLnS_-b79GG-33mwLaMg,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",3330,Andrew,5,1664,1259,28,60,2,4,80,22,3248,84
2008-05,329,41,269,16,3.66,6HBnx7fTfFlpWyez_P55xA,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",3324,Karen,25,4487,2292,98,152,11,23,166,65,7449,168
2006-10,93,20,249,6,3.84,C3xoIPpa7O6pjX9rZOaeHA,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",3155,Jason,2,3652,2786,119,140,4,5,40,53,4920,95
2007-02,168,30,109,4,3.65,SjocZ3uwUAKl-vBZ0UYmuw,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",3153,Ian,6,6204,2759,112,111,6,17,90,27,11480,78
2007-07,855,40,715,27,3.92,EY2M507w8246POHv37TLyA,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",3073,Neal,59,6977,2111,176,123,19,78,510,233,9531,425
2005-09,1856,148,2262,158,3.81,pW91HUnVz6ssLZ4dY-ztyQ,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2928,Miriam,150,13643,6907,526,728,365,212,1053,671,16570,1741
2008-12,1254,122,1357,100,3.81,JfHEExxD3iBXK5ZVWcc9SA,"[2009, 2010, 2011, 2012, 2013, 2014]",2898,David,274,10543,6487,378,235,65,150,893,609,14413,573
2005-07,572,86,801,69,3.91,lxZSVeJz6KEBW1nlA3JKJg,"[2006, 2007, 2008, 2009, 2010, 2011]",2823,Shiho,39,15225,9540,313,293,69,224,268,311,18707,765
2006-07,830,195,1878,95,3.68,OMB8Y_DOaB21vCXa-cruwg,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2715,Ed,165,24113,22432,1144,714,121,668,417,922,27389,1776
2006-11,7898,219,3718,278,3.32,vyfsQo-estP8EfiIFMsL6g,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2684,Jando,197,7900,5296,924,614,98,276,2091,1928,11432,1901
2006-01,260,43,481,16,3.35,jDCblyKGE1UrulT7Dyzb0Q,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2670,Ann,60,4695,2119,139,169,25,137,141,69,8527,279
2008-01,431,51,561,17,3.91,5lq4LkrviYgQ4LJNsBYHcA,"[2008, 2010, 2011, 2012, 2013, 2014]",2667,Michael,50,4512,2953,402,197,5,233,272,226,6857,175
2006-05,2162,264,2918,194,3.88,qbfQRHLvZk5WSkKY0l_lMw,"[2006, 2007, 2008, 2010]",2605,Stephy,127,22982,25507,850,943,529,304,1516,2810,24327,3121
2006-03,1225,124,1513,154,3.37,z9QVdtpdSEmKAnM2PhJU9w,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2564,Hen,51,8552,6843,451,211,177,957,535,1199,10188,1939
2010-10,77,5,77,,3.78,1p3d__fuRRCDXfbS1Tq0wA,"[2012, 2013, 2014]",2529,Isabelle,4,691,862,34,42,2,5,45,20,1820,41
2009-09,149,12,166,19,3.67,AgARllvBE2wIopbJSuSXPg,[2014],2492,Alden,2,3688,2710,97,73,6,16,126,40,5346,37
2008-11,503,105,1021,46,3.83,eOBvN22GfIAUETEthSvNVQ,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",2473,Lorrie,22,6159,4450,434,254,80,98,290,345,9273,1081
2009-03,10020,669,10975,772,3.21,xNb8pFe99ENj8BeMsCBPcQ,"[2009, 2010, 2011, 2012, 2013, 2014]",2318,Anthony,267,26551,21526,4210,510,193,3401,2387,1064,30254,6131
2006-01,1914,114,1338,54,3.91,ARe8Nr_YehB2ubsGJhZ-hg,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2314,Andrea,92,10465,7351,313,550,185,138,1144,768,14143,1106
2006-09,6477,292,3996,343,3.98,DrKQzBFAvxhyjLgbPSW2Qw,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2287,Colleen,235,20963,19457,943,685,658,375,2413,2052,27931,3428
2009-05,28,2,44,1,3.92,pEVf8GRshP9HUkSpizc9LA,"[2010, 2011, 2012, 2013, 2014]",2265,Jennifer,,693,686,19,54,2,4,32,,1453,12
2009-09,5678,163,3599,192,3.55,qhooXf7Uh8NP3mX6YG3Drw,"[2011, 2012, 2013, 2014]",2243,Phil,136,12856,11755,1283,234,114,491,1790,2355,16034,2337
2009-08,702,35,829,18,3.88,7FRi5k2A8fXECbBFwno1KA,"[2010, 2011, 2012, 2013, 2014]",2241,Jana,8,5677,3781,277,55,30,163,187,209,6955,537
2008-08,77,11,95,2,3.55,LTL78YiFb0CjPu2WZsNF_g,"[2010, 2011, 2012]",2235,Solomon,3,1991,1307,70,62,2,3,43,26,3959,28
2007-01,806,69,852,44,3.81,68Ci9UgVIVEiCGXy05loLw,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2193,Carol,51,6189,3884,254,155,26,18,390,309,9173,809
2006-10,759,62,795,41,3.61,FuDlYMar9QLhsS331Ppgng,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2192,Vicky,30,4986,4835,242,65,62,41,250,365,6132,1159
2007-02,4352,236,4007,282,3.74,DzVKlwlnqwSSiGGzLmAp_g,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2174,Dave,227,15938,11453,611,479,342,1154,1328,2566,18906,3006
2007-05,11343,656,10433,866,3.98,mAuBHENS_DeFCQqrJC_UxA,"[2009, 2010, 2011, 2012, 2013, 2014]",2152,Yee Gan,145,18764,13153,2716,242,221,4080,4099,6627,22349,6326
2006-01,515,43,359,22,3.3,sEoqfzinheTEROdhb4tKPg,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2139,Jacob,6,3354,3449,138,72,14,30,186,180,6497,177
2008-07,378,56,619,35,4.08,dQhd0Wfn59TYWf2GVukEww,"[2009, 2010, 2011, 2012, 2013, 2014]",2111,Steph,58,8605,8234,655,412,56,96,143,271,10556,602
2007-10,47,9,81,3,3.88,neAN8bWOJyj5x1-SMCIOYQ,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",2090,Misha,4,735,916,32,40,2,5,30,32,1422,51
