type,usrW,simW,rstW,knn,pca,mse
weighted,0.4,0.2,0.4,50,20,0.620334635
weighted,0.4,0.2,0.4,50,40,0.629325491
weighted,0.4,0.2,0.4,50,60,0.628575103
weighted,0.4,0.2,0.4,50,80,0.626213925
weighted,0.4,0.2,0.4,50,100,0.623610434
weighted,0.4,0.2,0.4,10,100,0.606632503
weighted,0.4,0.2,0.4,20,100,0.612769696
weighted,0.4,0.2,0.4,30,100,0.618433824
weighted,0.4,0.2,0.4,40,100,0.628493417
weighted,0.4,0.2,0.4,50,100,0.623610434
weighted,0.4,0.2,0.4,60,100,0.621168779
weighted,0.4,0.2,0.4,70,100,0.616929729
weighted,0.4,0.2,0.4,80,100,0.620482334
weighted,0.4,0.2,0.4,90,100,0.62072447
weighted,0.4,0.2,0.4,100,100,0.61850222
baseline,0.5,0,0.5,50,20,0.616413146
baseline,0.5,0,0.5,50,40,0.624646946
baseline,0.5,0,0.5,50,60,0.623516425
baseline,0.5,0,0.5,50,80,0.622069885
baseline,0.5,0,0.5,50,100,0.620352672
baseline,0.5,0,0.5,10,100,0.603731441
baseline,0.5,0,0.5,20,100,0.60934966
baseline,0.5,0,0.5,30,100,0.615798882
baseline,0.5,0,0.5,40,100,0.623502274
baseline,0.5,0,0.5,50,100,0.620352672
baseline,0.5,0,0.5,60,100,0.620477164
baseline,0.5,0,0.5,70,100,0.616837065
baseline,0.5,0,0.5,80,100,0.621227704
baseline,0.5,0,0.5,90,100,0.620460681
baseline,0.5,0,0.5,100,100,0.617928959
